wd,Y,Length,Midpoint
100,992.8924902230361,354.0168848028418,821.9066900834332
110,-365.5204570122155,0.0,783.8579849056456
110,-284.0198458488152,176.25380757759945,697.2069696763955
110,-202.51923468541486,352.5076151551988,610.5559544471455
110,-121.01862352201454,528.7614227327981,523.9049392178954
110,-39.518012358614214,705.0152303103976,437.2539239886453
110,41.98259880478611,792.3845190949662,395.0451681559106
110,123.48320996818643,796.0872504926199,394.66969101663335
110,204.98382113158675,799.7899818902736,394.2942138773561
110,286.4844322949871,803.4927132879272,393.9187367380789
110,367.9850434583874,807.1954446855809,393.5432595988017
110,449.4856546217877,810.8981760832347,393.1677824595245
110,530.986265785188,322.1376315944664,639.0239432634582
110,612.4868769485884,325.8403629921435,638.6484661241693
110,693.9874881119886,329.5430943898206,638.2729889848804
110,775.488099275389,333.2458257874977,637.8975118455915
110,856.9887104387894,336.9485571851748,637.5220347063025
110,938.4893216021896,340.6512885828519,637.1465575670136
110,1019.9899327655899,344.354019980529,636.7710804277247
110,1101.4905439289903,348.0567513782061,636.3956032884357
120,-223.85186932165794,0.0,835.4213820557608
120,-143.33315021390274,287.7991257840887,678.8228530524775
120,-62.81443110614751,575.5982515681774,522.224324049194
120,17.704288001607722,800.9474165016507,396.8507754712183
120,98.22300710936292,804.7254703530875,382.26278243426077
120,178.74172621711813,808.5035242045245,367.6747893973033
120,259.2604453248734,812.2815780559614,353.0867963603458
120,339.77916443262853,816.0596319073984,338.4988033233883
120,420.2978835403838,819.8376857588354,323.9108102864307
120,500.81660264813905,823.6157396102723,309.3228172494732
120,581.3353217558943,324.9126312221372,545.9754053323018
120,661.8540408636495,328.6906850735982,531.3874122953322
120,742.3727599714048,332.4687389250592,516.7994192583626
120,822.89147907916,336.2467927765203,502.211426221393
120,903.4101981869151,340.0248466279813,487.62343318442345
120,983.9289172946703,343.80290047944226,473.03544014745387
120,1064.4476364024256,347.58095433090335,458.4474471104844
120,1144.9663555101808,351.35900818236433,443.8594540735148
120,1225.485074617936,355.1370620338253,429.27146103654525
130,-75.38165585627297,0.0,861.600923255729
130,1.7086506601858247,835.7882533026706,417.21882748166894
130,78.79895717664462,839.7681973660317,388.74088632726387
130,155.88926369310343,843.7481414293927,360.2629451728586
130,232.9795702095622,847.7280854927537,331.7850040184535
130,310.069876726021,851.7080295561146,303.3070628640483
130,387.16018324247983,855.6879736194757,274.8291217096432
130,464.2504897589386,859.6679176828366,246.35118055523796
130,541.3407962753975,334.3153013207753,482.53951961354414
130,618.4311027918561,338.2952453841618,454.06157845912617
130,695.521409308315,342.2751894475484,425.5836373047082
130,772.6117158247737,346.255133510935,397.10569615029027
130,849.7020223412326,350.2350775743216,368.62775499587224
130,926.7923288576915,354.2150216377081,340.14981384145426
130,1003.8826353741501,358.1949657010948,311.6718726870364
130,1080.9729418906088,362.1749097644814,283.1939315326185
130,1158.0632484070677,366.154853827868,254.71599037820044
130,1235.1535549235266,370.1347978912546,226.23804922378247
130,1312.2438614399853,221.54391486587528,274.0455216137475
140,0.0,0.0,0.0
140,75.28685929109743,906.8016677369399,407.14723263320934
140,150.57371858219486,912.4914710879335,363.7385330734456
140,225.8605778732923,917.0771937615903,319.77779317501336
140,301.1474371643897,921.6629164352468,275.817053276581
140,376.43429645548713,926.2486391089033,231.85631337814868
140,451.7211557465846,902.9519988475975,201.83675494719765
140,527.008015037682,357.6583098075409,432.815720905622
140,602.2948743287794,362.2440324812272,388.85498100717484
140,677.5817336198769,366.8297551549134,344.8942411087276
